CITY,4/1/2015,11/1/2015,18/1/2015,25/1/2015,1/2/2015,8/2/2015,15/2/2015,22/2/2015,1/3/2015,8/3/2015,15/3/2015,22/3/2015,29/3/2015,5/4/2015,12/4/2015,19/4/2015,26/4/2015,3/5/2015,10/5/2015,17/5/2015,24/5/2015,31/5/2015,7/6/2015,14/6/2015,21/6/2015,28/6/2015,5/7/2015,12/7/2015,19/7/2015,26/7/2015,2/8/2015,9/8/2015,16/8/2015,23/8/2015,30/8/2015,6/9/2015,13/9/2015,20/9/2015,27/9/2015,4/10/2015,11/10/2015,18/10/2015,25/10/2015,1/11/2015,8/11/2015,15/11/2015,22/11/2015,29/11/2015,6/12/2015,13/12/2015,20/12/2015,27/12/2015,3/1/2016,10/1/2016,17/1/2016,24/1/2016,31/1/2016,7/2/2016,14/2/2016,21/2/2016,28/2/2016,6/3/2016,13/3/2016,20/3/2016,27/3/2016,3/4/2016,10/4/2016,17/4/2016,24/4/2016,1/5/2016,8/5/2016,15/5/2016
State of Mato Grosso do Sul,34,61,0,0,0,9,29,100,0,0,0,0,100,0,0,11,28,6,12,11,11,4,0,0,12,10,0,0,3,3,7,3,0,11,0,12,6,0,0,6,0,3,0,0,23,35,42,30,65,58,28,25,28,53,70,47,99,77,54,47,76,86,64,20,60,58,31,37,25,31,28,34
State of Minas Gerais,42,31,81,31,29,6,9,6,10,9,57,26,29,45,34,3,16,13,15,11,10,8,7,11,7,12,3,4,7,9,4,5,6,16,1,5,8,8,2,6,3,4,12,14,3,22,35,35,44,39,21,17,20,29,33,51,77,53,65,70,70,86,69,34,64,65,55,51,47,45,32,32
State of Paraná,32,9,24,22,18,4,0,9,19,13,8,5,31,43,19,2,13,8,13,6,8,10,7,6,3,3,2,2,2,2,1,3,4,18,0,2,3,1,0,4,3,1,8,2,2,24,29,27,41,34,16,19,16,19,26,44,58,44,39,34,34,45,41,15,35,31,27,24,30,18,11,15
State of Paraíba,0,34,0,21,0,5,32,11,0,0,58,0,18,100,33,0,58,26,58,22,38,34,42,58,28,54,24,24,44,20,39,13,18,100,9,5,15,24,4,10,14,3,43,10,3,26,34,46,41,24,20,16,11,16,29,51,40,49,55,65,81,87,92,39,78,88,80,62,73,75,65,62
State of Pará,86,49,64,31,48,8,0,0,0,0,0,51,0,38,0,0,0,5,14,9,6,7,9,17,14,4,4,1,0,6,3,5,8,25,2,9,4,4,2,4,6,13,12,34,3,35,51,53,52,55,18,29,39,36,34,53,76,76,75,65,96,85,68,27,65,55,40,46,56,22,44,43
State of Pernambuco,21,37,72,35,36,0,29,0,29,27,100,28,0,0,36,3,100,39,27,22,18,17,25,17,15,18,14,6,9,6,12,4,10,26,1,14,13,23,3,7,0,6,23,18,15,100,73,73,52,45,28,31,26,28,33,41,62,57,68,83,85,86,59,26,54,42,35,32,37,26,33,19
State of Piauí,0,0,0,61,0,0,0,0,52,100,0,0,0,0,0,0,0,51,76,63,25,21,9,0,13,30,3,5,0,0,6,0,8,32,2,0,0,0,10,17,0,9,0,0,17,33,26,61,15,17,8,4,19,8,25,22,46,55,44,40,36,30,58,20,58,34,50,41,53,43,56,49
State of Rio Grande do Norte,30,51,64,0,0,16,53,49,0,0,0,0,0,0,100,0,75,29,29,38,39,48,32,26,17,13,9,1,20,5,6,10,13,17,2,5,9,5,2,9,3,2,0,19,9,33,38,45,33,30,14,13,9,13,19,37,58,45,65,60,74,100,96,64,100,53,60,56,62,34,30,16
State of Rio Grande do Sul,17,21,41,13,61,3,10,13,10,5,9,5,6,23,61,7,5,5,5,2,6,2,3,3,4,3,1,1,2,1,1,1,3,4,1,3,1,2,1,3,1,1,3,4,5,23,27,25,31,42,22,15,16,16,19,40,52,53,28,30,35,43,41,21,30,29,27,32,24,23,19,21
State of Rio de Janeiro,34,53,23,22,17,4,16,11,31,9,37,24,16,37,20,3,21,25,25,34,29,32,37,32,30,29,15,11,17,12,15,11,18,43,3,17,12,14,5,11,8,5,32,28,14,47,61,54,79,87,59,60,63,81,69,84,98,77,75,75,73,86,76,48,92,75,76,88,75,73,57,56
State of Rondônia,0,0,0,0,100,0,50,0,0,52,0,54,0,0,0,0,24,0,15,0,0,7,9,0,0,8,0,0,0,0,0,5,0,0,0,10,0,0,0,9,7,10,28,0,7,21,43,26,32,21,24,51,19,63,14,47,61,47,52,75,56,64,39,36,80,83,28,48,51,22,18,24
State of Roraima,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,29,0,0,47,92,100,100,100,100,100,100,100,100,0,100,100,49,39,17,15,25,0,69,19,22,0,36,66,42,73,28,100,64,48,100,94,46,46,38,61,0,54,26
State of Santa Catarina,18,50,63,10,44,5,7,16,8,23,14,24,36,0,16,0,7,3,4,3,0,7,3,5,5,3,1,0,1,0,0,2,3,14,1,8,0,7,1,3,3,2,4,3,5,13,21,24,36,39,14,9,15,23,16,43,58,38,30,31,36,51,36,19,31,42,35,16,18,19,21,16
State of Sergipe,0,0,0,0,0,0,100,31,100,0,88,100,56,0,100,0,67,50,33,36,6,47,35,24,15,17,4,3,0,26,0,15,0,34,4,0,36,36,7,18,12,5,46,36,6,36,63,68,24,31,22,47,16,23,10,32,38,34,37,40,46,29,35,24,47,30,30,13,39,43,38,36
State of São Paulo,38,74,100,49,69,12,39,23,31,26,39,22,34,45,61,14,29,18,12,15,14,9,11,8,7,7,4,3,4,5,4,3,6,14,1,6,5,5,2,7,4,3,17,13,5,28,35,30,44,40,20,19,16,21,24,45,67,46,47,43,44,47,43,22,46,36,29,31,26,23,25,22
State of Tocantins,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0,11,12,14,0,0,14,0,0,0,0,10,0,0,0,0,0,0,15,6,0,0,0,0,0,9,14,69,76,69,84,46,40,84,62,29,73,95,100,100,100,97,50,58,49,87,47,66,49,43,36,41,40
